genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YBR208C	P32528	"DUR1,2"	201.82994	OE	1000	2	1.87E-07	1.87E-07	1.87E-07	1.000001	1	10	0	1
YDL080C	Q07471	THI3	68.36566	OE	1000	2	3.87E-07	3.89E-07	3.88E-07	1.000001	1	7	0	1
YDL171C	Q12680	GLT1	238.09944	OE	1000	2	3.80E-08	3.83E-08	3.81E-08	1.000001	1	6	0	1
YEL047C	P32614	FRD1	50.84351	OE	1000	2	5.60E-07	0.001486776	5.60E-07	1.000001	1	10	0	1
YHR037W	P07275	PUT2	64.43444	OE	1000	2	5.75E-06	0.001178488	5.75E-06	1.000001	1	9	0	1
YLR142W	P09368	PUT1	53.27087	OE	1000	2	2.58E-07	2.58E-07	2.58E-07	1.000001	1	4	0	1
YLR438W	P07991	CAR2	46.08557	OE	1000	2	4.45E-08	4.45E-08	4.45E-08	1.000001	1	4	0	1
YNL241C	P11412	ZWF1	57.5209	OE	1000	2	5.46E-07	5.46E-07	5.46E-07	1.000001	1	5	0	1
YPL111W	P00812	CAR1	35.66162	OE	1000	2	1.60E-05	1.60E-05	1.60E-05	1.000001	1	4	0	1
YDR380W	Q06408	ARO10	71.38357	OE	92.47171133	2	7.95E-09	7.96E-09	7.96E-09	1.000001	1	4	0	1
YDR158W	P13663	HOM2	39.54334	OE	85.51604965	2	1.01E-06	1.01E-06	1.01E-06	1.000001	1	6	0	1
YER052C	P10869	HOM3	58.10913	OE	85.51604965	2	8.41E-07	8.41E-07	8.41E-07	1.000001	1	4	0	1
YCR053W	P16120	THR4	57.47349	OE	85.51604965	2	4.68E-08	4.68E-08	4.68E-08	1.000001	1	6	0	1
YHR025W	P17423	THR1	38.71215	OE	85.51604965	2	4.68E-06	4.68E-06	4.68E-06	1.000001	1	5	0	1
YJR139C	P31116	HOM6	38.50163	OE	85.51604965	2	8.46E-06	8.46E-06	8.46E-06	1.000001	1	7	0	1
YOR095C	Q12189	RKI1	28.25777	OE	28.05484807	2	1.21E-05	0.002686189	1.21E-05	1.000001	1	2	0	1
YDL066W	P21954	IDP1	48.18986	OE	12.9026211	2	6.84E-06	6.84E-06	6.84E-06	1.000001	1	5	0	1
YER023W	P32263	PRO3	30.13145	OE	3.742721917	2	6.24E-09	6.25E-09	6.24E-09	1.000001	1	6	0	1
YLR174W	P41939	IDP2	46.56172	OE	2.234071755	2	2.66E-06	0.001625549	2.66E-06	1.000001	1	5	0	1
